Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TA,Live animals,234,Uruguay,5908,Export Quantity,1034,Pigs,1962,1962,Head,0,,Official data
TA,Live animals,234,Uruguay,5608,Import Quantity,1034,Pigs,1962,1962,Head,0,,Official data
TA,Live animals,21,Brazil,5908,Export Quantity,1034,Pigs,1962,1962,Head,0,,Official data
TA,Live animals,21,Brazil,5608,Import Quantity,1034,Pigs,1962,1962,Head,164,,Official data
TA,Live animals,19,Bolivia (Plurinational State of),5608,Import Quantity,1034,Pigs,1962,1962,Head,0,,Official data
TA,Live animals,170,Peru,5908,Export Quantity,1034,Pigs,1962,1962,Head,0,,Official data
TA,Live animals,170,Peru,5608,Import Quantity,1034,Pigs,1962,1962,Head,0,,Official data
TA,Live animals,169,Paraguay,5608,Import Quantity,1034,Pigs,1962,1962,Head,0,,Official data
TA,Live animals,9,Argentina,5908,Export Quantity,1016,Goats,1962,1962,Head,0,,Official data
TA,Live animals,9,Argentina,5608,Import Quantity,1016,Goats,1962,1962,Head,0,,Official data
TA,Live animals,58,Ecuador,5608,Import Quantity,1016,Goats,1962,1962,Head,,M,Data not available
TA,Live animals,44,Colombia,5908,Export Quantity,1016,Goats,1962,1962,Head,0,,Official data
TA,Live animals,44,Colombia,5608,Import Quantity,1016,Goats,1962,1962,Head,404,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5908,Export Quantity,1016,Goats,1962,1962,Head,0,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5608,Import Quantity,1016,Goats,1962,1962,Head,0,,Official data
TA,Live animals,234,Uruguay,5908,Export Quantity,1016,Goats,1962,1962,Head,,M,Data not available
TA,Live animals,234,Uruguay,5608,Import Quantity,1016,Goats,1962,1962,Head,0,,Official data
TA,Live animals,21,Brazil,5908,Export Quantity,1016,Goats,1962,1962,Head,0,,Official data
TA,Live animals,21,Brazil,5608,Import Quantity,1016,Goats,1962,1962,Head,8,,Official data
TA,Live animals,19,Bolivia (Plurinational State of),5608,Import Quantity,1016,Goats,1962,1962,Head,0,,Official data
TA,Live animals,170,Peru,5608,Import Quantity,1016,Goats,1962,1962,Head,0,,Official data
TA,Live animals,169,Paraguay,5608,Import Quantity,1016,Goats,1962,1962,Head,,M,Data not available
TA,Live animals,9,Argentina,5908,Export Quantity,976,Sheep,1962,1962,Head,45252,,Official data
TA,Live animals,9,Argentina,5608,Import Quantity,976,Sheep,1962,1962,Head,170,,Official data
TA,Live animals,58,Ecuador,5908,Export Quantity,976,Sheep,1962,1962,Head,,M,Data not available
TA,Live animals,58,Ecuador,5608,Import Quantity,976,Sheep,1962,1962,Head,1100,*,Unofficial figure
TA,Live animals,44,Colombia,5908,Export Quantity,976,Sheep,1962,1962,Head,0,,Official data
TA,Live animals,169,Paraguay,5608,Import Quantity,1096,Horses,1963,1963,Head,0,,Official data
TA,Live animals,169,Paraguay,5908,Export Quantity,1096,Horses,1963,1963,Head,0,,Official data
TA,Live animals,170,Peru,5608,Import Quantity,1096,Horses,1963,1963,Head,130,,Official data
TA,Live animals,170,Peru,5908,Export Quantity,1096,Horses,1963,1963,Head,88,,Official data
TA,Live animals,19,Bolivia (Plurinational State of),5608,Import Quantity,1096,Horses,1963,1963,Head,540,*,Unofficial figure
TA,Live animals,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,1963,1963,Head,0,,Official data
TA,Live animals,21,Brazil,5608,Import Quantity,1096,Horses,1963,1963,Head,120,,Official data
TA,Live animals,21,Brazil,5908,Export Quantity,1096,Horses,1963,1963,Head,20,,Official data
TA,Live animals,234,Uruguay,5608,Import Quantity,1096,Horses,1963,1963,Head,26,,Official data
TA,Live animals,234,Uruguay,5908,Export Quantity,1096,Horses,1963,1963,Head,120,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5608,Import Quantity,1096,Horses,1963,1963,Head,160,F,FAO estimate
TA,Live animals,236,Venezuela (Bolivarian Republic of),5908,Export Quantity,1096,Horses,1963,1963,Head,0,,Official data
TA,Live animals,44,Colombia,5608,Import Quantity,1096,Horses,1963,1963,Head,7,,Official data
TA,Live animals,44,Colombia,5908,Export Quantity,1096,Horses,1963,1963,Head,7,,Official data
TA,Live animals,58,Ecuador,5608,Import Quantity,1096,Horses,1963,1963,Head,0,,Official data
TA,Live animals,58,Ecuador,5908,Export Quantity,1096,Horses,1963,1963,Head,0,,Official data
TA,Live animals,9,Argentina,5608,Import Quantity,1096,Horses,1963,1963,Head,46,,Official data
TA,Live animals,9,Argentina,5908,Export Quantity,1096,Horses,1963,1963,Head,3165,,Official data
TA,Live animals,21,Brazil,5608,Import Quantity,1126,Camels,1963,1963,Head,,M,Data not available
TA,Live animals,44,Colombia,5908,Export Quantity,1126,Camels,1963,1963,Head,,M,Data not available
TA,Live animals,170,Peru,5908,Export Quantity,1157,"Camelids, other",1963,1963,Head,,M,Data not available
TA,Live animals,19,Bolivia (Plurinational State of),5608,Import Quantity,1157,"Camelids, other",1963,1963,Head,,M,Data not available
TA,Live animals,44,Colombia,5608,Import Quantity,1157,"Camelids, other",1963,1963,Head,,M,Data not available
TA,Live animals,44,Colombia,5908,Export Quantity,1157,"Camelids, other",1963,1963,Head,,M,Data not available
TA,Live animals,58,Ecuador,5608,Import Quantity,1157,"Camelids, other",1963,1963,Head,,M,Data not available
TA,Live animals,9,Argentina,5608,Import Quantity,1157,"Camelids, other",1963,1963,Head,,M,Data not available
TA,Live animals,9,Argentina,5908,Export Quantity,1157,"Camelids, other",1963,1963,Head,,M,Data not available
TA,Live animals,169,Paraguay,5608,Import Quantity,866,Cattle,1963,1963,Head,13000,F,FAO estimate
