"from","to","distance","flow","year","popFrom","popTo","year.1"
"Ecuador","Venezuela",1657.06351856764,0,"1988",1226300,323800,"1988"
"Paraguay","Venezuela",3484.3757151894,0,"1988",432100,323800,"1988"
"Peru","Venezuela",2027.07639181003,0,"1988",12922000,323800,"1988"
"Uruguay","Venezuela",4569.68551328267,0,"1988",24689168,323800,"1988"
"Venezuela","Venezuela",9.50453877449036e-05,0,"1988",323800,323800,"1988"
"Argentina","Argentina",0,0,"1989",29345008,29345008,"1989"
"Bolivia","Argentina",2056.02752105864,0,"1989",7701137,29345008,"1989"
"Brazil","Argentina",2970.62008811255,0,"1989",20041456,29345008,"1989"
"Chile","Argentina",549.236062178285,33090,"1989",4720800,29345008,"1989"
"Colombia","Argentina",4428.06221883752,0,"1989",2545000,29345008,"1989"
"Ecuador","Argentina",3999.3326249303,0,"1989",1329000,29345008,"1989"
"Paraguay","Argentina",1481.30586680423,0,"1989",451100,29345008,"1989"
"Peru","Argentina",3042.91337969977,0,"1989",12970400,29345008,"1989"
"Uruguay","Argentina",886.025785928525,2071,"1989",24871584,29345008,"1989"
"Venezuela","Argentina",4709.22119899415,0,"1989",335900,29345008,"1989"
"Argentina","Bolivia",2056.02752105864,0,"1989",29345008,7701137,"1989"
"Bolivia","Bolivia",0,0,"1989",7701137,7701137,"1989"
"Brazil","Bolivia",1406.69570016608,0,"1989",20041456,7701137,"1989"
"Chile","Bolivia",2150.12404536596,0,"1989",4720800,7701137,"1989"
"Colombia","Bolivia",2474.21126193179,0,"1989",2545000,7701137,"1989"
"Ecuador","Bolivia",2272.50983152685,0,"1989",1329000,7701137,"1989"
"Paraguay","Bolivia",978.129744567879,0,"1989",451100,7701137,"1989"
"Peru","Bolivia",1346.81559926284,0,"1989",12970400,7701137,"1989"
"Uruguay","Bolivia",1988.1166048493,0,"1989",24871584,7701137,"1989"
"Venezuela","Bolivia",2657.95864060761,0,"1989",335900,7701137,"1989"
"Argentina","Brazil",2970.62008811255,115,"1989",29345008,20041456,"1989"
"Bolivia","Brazil",1406.69570016608,0,"1989",7701137,20041456,"1989"
"Brazil","Brazil",9.50453877449036e-05,0,"1989",20041456,20041456,"1989"
