state	c_allTransitions[1]
1.946E7	24.0
1.947E7	26.0
1.948E7	25.0
1.949E7	24.0
1.95E7	27.0
1.951E7	26.0
1.952E7	25.0
1.953E7	26.0
1.954E7	26.0
1.955E7	26.0
1.956E7	25.0
1.957E7	28.0
1.958E7	23.0
1.959E7	24.0
1.96E7	25.0
1.961E7	26.0
1.962E7	25.0
1.963E7	24.0
1.964E7	24.0
1.965E7	24.0
1.966E7	25.0
1.967E7	25.0
1.968E7	25.0
1.969E7	25.0
1.97E7	26.0
1.971E7	24.0
1.972E7	25.0
1.973E7	25.0
1.974E7	25.0
1.975E7	25.0
1.976E7	24.0
1.977E7	24.0
1.978E7	25.0
1.979E7	25.0
1.98E7	24.0
1.981E7	26.0
1.982E7	24.0
1.983E7	23.0
1.984E7	24.0
1.985E7	23.0
1.986E7	25.0
1.987E7	24.0
1.988E7	27.0
1.989E7	23.0
1.99E7	25.0
1.991E7	25.0
1.992E7	26.0
1.993E7	24.0
1.994E7	25.0
1.995E7	25.0
1.996E7	25.0
1.997E7	25.0
1.998E7	25.0
1.999E7	23.0
2.0E7	24.0
2.001E7	25.0
2.002E7	26.0
2.003E7	25.0
2.004E7	24.0
2.005E7	24.0
2.006E7	26.0
2.007E7	25.0
2.008E7	26.0
2.009E7	24.0
2.01E7	25.0
2.011E7	25.0
2.012E7	24.0
2.013E7	25.0
2.014E7	25.0
2.015E7	23.0
2.016E7	25.0
2.017E7	26.0
2.018E7	25.0
2.019E7	25.0
2.02E7	26.0
2.021E7	26.0
2.022E7	24.0
2.023E7	25.0
2.024E7	25.0
2.025E7	25.0
2.026E7	27.0
2.027E7	26.0
2.028E7	25.0
2.029E7	25.0
2.03E7	28.0
2.031E7	26.0
2.032E7	24.0
2.033E7	24.0
2.034E7	26.0
2.035E7	24.0
2.036E7	25.0
2.037E7	24.0
2.038E7	26.0
2.039E7	24.0
2.04E7	25.0
2.041E7	25.0
2.042E7	25.0
2.043E7	23.0
2.044E7	24.0
2.045E7	24.0
2.046E7	24.0
2.047E7	24.0
2.048E7	24.0
2.049E7	25.0
2.05E7	26.0
2.051E7	26.0
2.052E7	25.0
2.053E7	24.0
2.054E7	25.0
2.055E7	25.0
2.056E7	25.0
2.057E7	24.0
2.058E7	25.0
2.059E7	26.0
2.06E7	24.0
2.061E7	24.0
2.062E7	25.0
2.063E7	24.0
2.064E7	26.0
2.065E7	23.0
2.066E7	24.0
2.067E7	29.0
2.068E7	25.0
2.069E7	25.0
2.07E7	26.0
2.071E7	24.0
2.072E7	24.0
2.073E7	24.0
2.074E7	25.0
2.075E7	25.0
2.076E7	24.0
2.077E7	25.0
2.078E7	26.0
2.079E7	24.0
2.08E7	24.0
2.081E7	26.0
2.082E7	26.0
2.083E7	25.0
2.084E7	27.0
2.085E7	24.0
2.086E7	25.0
2.087E7	25.0
2.088E7	24.0
2.089E7	25.0
2.09E7	25.0
2.091E7	24.0
2.092E7	24.0
2.093E7	25.0
2.094E7	24.0
2.095E7	24.0
2.096E7	26.0
2.097E7	25.0
2.098E7	27.0
2.099E7	25.0
2.1E7	25.0
2.101E7	24.0
2.102E7	25.0
2.103E7	25.0
2.104E7	27.0
2.105E7	26.0
2.106E7	23.0
2.107E7	26.0
2.108E7	25.0
2.109E7	26.0
2.11E7	26.0
2.111E7	25.0
2.112E7	25.0
2.113E7	25.0
2.114E7	23.0
2.115E7	25.0
2.116E7	25.0
2.117E7	24.0
2.118E7	26.0
2.119E7	25.0
2.12E7	25.0
2.121E7	25.0
2.122E7	24.0
2.123E7	24.0
2.124E7	25.0
2.125E7	24.0
2.126E7	24.0
2.127E7	25.0
2.128E7	24.0
2.129E7	27.0
2.13E7	26.0
2.131E7	25.0
2.132E7	24.0
2.133E7	24.0
2.134E7	26.0
2.135E7	25.0
2.136E7	27.0
2.137E7	26.0
2.138E7	24.0
2.139E7	24.0
2.14E7	24.0
2.141E7	24.0
2.142E7	25.0
2.143E7	26.0
2.144E7	25.0
2.145E7	27.0
2.146E7	27.0
2.147E7	25.0
2.148E7	23.0
2.149E7	24.0
2.15E7	25.0
2.151E7	25.0
2.152E7	25.0
2.153E7	24.0
2.154E7	26.0
2.155E7	25.0
2.156E7	24.0
2.157E7	23.0
2.158E7	26.0
2.159E7	25.0
2.16E7	25.0
2.161E7	25.0
2.162E7	24.0
2.163E7	24.0
2.164E7	24.0
2.165E7	25.0
2.166E7	25.0
2.167E7	25.0
2.168E7	25.0
2.169E7	24.0
2.17E7	27.0
2.171E7	25.0
2.172E7	27.0
2.173E7	24.0
2.174E7	26.0
2.175E7	25.0
2.176E7	26.0
2.177E7	26.0
2.178E7	25.0
2.179E7	26.0
2.18E7	25.0
2.181E7	26.0
2.182E7	24.0
2.183E7	26.0
2.184E7	25.0
2.185E7	26.0
2.186E7	24.0
2.187E7	24.0
2.188E7	24.0
2.189E7	26.0
2.19E7	25.0
2.191E7	25.0
2.192E7	24.0
2.193E7	27.0
2.194E7	24.0
2.195E7	25.0
2.196E7	24.0
2.197E7	24.0
2.198E7	25.0
2.199E7	25.0
2.2E7	25.0
2.201E7	25.0
2.202E7	24.0
2.203E7	26.0
2.204E7	26.0
2.205E7	25.0
2.206E7	24.0
2.207E7	28.0
2.208E7	24.0
2.209E7	24.0
2.21E7	25.0
2.211E7	24.0
2.212E7	27.0
2.213E7	24.0
2.214E7	24.0
2.215E7	24.0
2.216E7	24.0
2.217E7	25.0
2.218E7	23.0
2.219E7	25.0
2.22E7	24.0
2.221E7	26.0
2.222E7	25.0
2.223E7	27.0
2.224E7	25.0
2.225E7	24.0
2.226E7	27.0
2.227E7	27.0
2.228E7	25.0
2.229E7	28.0
2.23E7	25.0
2.231E7	29.0
2.232E7	24.0
2.233E7	25.0
2.234E7	24.0
2.235E7	27.0
2.236E7	27.0
2.237E7	27.0
2.238E7	25.0
2.239E7	26.0
2.24E7	25.0
2.241E7	26.0
2.242E7	24.0
2.243E7	25.0
2.244E7	26.0
2.245E7	25.0
2.246E7	25.0
2.247E7	24.0
2.248E7	25.0
2.249E7	25.0
2.25E7	26.0
2.251E7	25.0
2.252E7	24.0
2.253E7	25.0
2.254E7	24.0
2.255E7	24.0
2.256E7	26.0
2.257E7	26.0
2.258E7	24.0
2.259E7	26.0
2.26E7	25.0
2.261E7	24.0
2.262E7	25.0
2.263E7	23.0
2.264E7	25.0
2.265E7	25.0
2.266E7	26.0
2.267E7	25.0
2.268E7	26.0
2.269E7	25.0
2.27E7	25.0
2.271E7	24.0
2.272E7	25.0
2.273E7	26.0
2.274E7	25.0
2.275E7	24.0
2.276E7	25.0
2.277E7	23.0
2.278E7	24.0
2.279E7	25.0
2.28E7	25.0
2.281E7	24.0
2.282E7	25.0
2.283E7	26.0
2.284E7	27.0
2.285E7	25.0
2.286E7	24.0
2.287E7	26.0
2.288E7	26.0
2.289E7	25.0
2.29E7	25.0
2.291E7	24.0
2.292E7	23.0
2.293E7	25.0
2.294E7	24.0
2.295E7	24.0
2.296E7	26.0
2.297E7	24.0
2.298E7	25.0
2.299E7	25.0
2.3E7	24.0
2.301E7	25.0
2.302E7	26.0
2.303E7	26.0
2.304E7	26.0
2.305E7	24.0
2.306E7	27.0
2.307E7	25.0
2.308E7	24.0
2.309E7	25.0
2.31E7	26.0
2.311E7	23.0
2.312E7	25.0
2.313E7	27.0
2.314E7	25.0
2.315E7	27.0
2.316E7	25.0
2.317E7	24.0
2.318E7	25.0
2.319E7	25.0
2.32E7	24.0
2.321E7	26.0
2.322E7	25.0
2.323E7	25.0
2.324E7	26.0
2.325E7	26.0
2.326E7	26.0
2.327E7	24.0
2.328E7	26.0
2.329E7	24.0
2.33E7	24.0
2.331E7	26.0
2.332E7	24.0
2.333E7	24.0
2.334E7	24.0
2.335E7	25.0
2.336E7	25.0
2.337E7	25.0
2.338E7	25.0
2.339E7	26.0
2.34E7	25.0
2.341E7	23.0
2.342E7	25.0
2.343E7	24.0
2.344E7	26.0
2.345E7	24.0
2.346E7	25.0
2.347E7	24.0
2.348E7	24.0
2.349E7	28.0
2.35E7	25.0
2.351E7	26.0
2.352E7	26.0
2.353E7	25.0
2.354E7	24.0
2.355E7	26.0
2.356E7	26.0
2.357E7	25.0
2.358E7	24.0
2.359E7	25.0
2.36E7	25.0
2.361E7	25.0
2.362E7	24.0
2.363E7	24.0
2.364E7	25.0
2.365E7	24.0
2.366E7	24.0
2.367E7	26.0
2.368E7	26.0
2.369E7	24.0
2.37E7	24.0
2.371E7	24.0
2.372E7	24.0
2.373E7	25.0
2.374E7	24.0
2.375E7	24.0
2.376E7	25.0
2.377E7	25.0
2.378E7	24.0
2.379E7	24.0
2.38E7	25.0
2.381E7	25.0
2.382E7	24.0
2.383E7	26.0
2.384E7	24.0
2.385E7	25.0
2.386E7	24.0
2.387E7	25.0
2.388E7	25.0
2.389E7	25.0
2.39E7	24.0
2.391E7	26.0
2.392E7	28.0
